follow_id_placeholder,follower_guid_fk,followed_guid_fk,created_at
1,usr-0c876a73,usr-17ffe674,2023-04-12
1,usr-c7872d7d,usr-91326388,2023-04-06
1,usr-81801aa9,usr-26502772,2022-12-29
1,usr-e90f4a76,usr-73e9ce31,2022-08-02
1,usr-926ac9f6,usr-d0eba0fd,2022-05-14
1,usr-926ac9f6,usr-861fd094,2022-03-13
1,usr-189e7076,usr-3aab52ef,2022-08-31
1,usr-5d8185a2,usr-2ca71020,2022-11-30
1,usr-4701e91e,usr-0cabf99a,2023-02-17
1,usr-306fc64c,usr-cc7b218f,2022-10-16
1,usr-2f0a0625,usr-e6c2655e,2022-05-06
1,usr-d4b3ddf8,usr-ef6a1e71,2023-05-05
1,usr-ba47117e,usr-ab374ed1,2023-03-05
1,usr-1e88f33b,usr-bc9fcdb7,2022-08-05
1,usr-69d7cde7,usr-3fcf37a4,2022-02-19
1,usr-a2a4eb78,usr-8305d36e,2022-06-09
1,usr-8698bec3,usr-cf2a6e29,2023-07-26
1,usr-02baa55b,usr-91a20c83,2022-09-10
1,usr-b137c1a6,usr-61c15ac5,2022-08-17
1,usr-b151114e,usr-ac38c808,2022-03-03
1,usr-4e02125c,usr-3b4003ba,2022-06-05
1,usr-69441f05,usr-5ce8e59e,2022-04-16
1,usr-808be698,usr-7e16f81c,2022-04-17
1,usr-74f3c0f1,usr-5b3a1a8c,2023-09-10
1,usr-222855a6,usr-b151114e,2022-05-19
1,usr-802b9fdb,usr-1a279f8e,2023-12-29
1,usr-406894bd,usr-3f3512e2,2022-11-21
1,usr-b4cbcbcc,usr-ff1a7c19,2022-03-20
1,usr-1e88f33b,usr-808be698,2022-08-01
1,usr-80f12197,usr-444d9fe6,2022-10-25
1,usr-ab374ed1,usr-8f940196,2023-10-19
1,usr-aded0a89,usr-db7015bb,2023-09-01
1,usr-009d8703,usr-2aaf6a56,2022-10-31
1,usr-189e7076,usr-e3ae5358,2023-06-28
1,usr-d696626f,usr-ddfd359c,2023-12-03
1,usr-0c876a73,usr-98bb8be9,2023-03-10
1,usr-f8c573d0,usr-588afa11,2023-07-02
1,usr-30081e8e,usr-0b8510e9,2023-02-13
1,usr-881561f2,usr-5fabae9d,2022-08-11
1,usr-01e6cbba,usr-a22e6c7d,2023-11-25
1,usr-5d8185a2,usr-17ab0c5f,2022-02-01
1,usr-0cabf99a,usr-7e16f81c,2022-04-13
1,usr-ccb9350b,usr-cfd7b13b,2022-05-16
1,usr-04469108,usr-d07e4b0c,2022-10-30
1,usr-333c0324,usr-926ac9f6,2023-01-22
1,usr-00813da2,usr-0a166644,2023-09-24
1,usr-aa8e863d,usr-04092699,2022-10-09
1,usr-ba47117e,usr-2608ece1,2022-10-14
1,usr-f7b97516,usr-44db6678,2022-09-23
1,usr-888b4b2d,usr-709d4205,2023-09-03
1,usr-7e12a659,usr-a5d3d498,2022-10-24
1,usr-6e910758,usr-a6077c58,2023-12-15
1,usr-ba47117e,usr-195cd1bf,2023-11-20
1,usr-ecd401c3,usr-28642958,2023-04-26
1,usr-366b6c56,usr-2406467a,2022-12-10
1,usr-4cec6433,usr-14d8a4a4,2023-09-21
1,usr-b0ca75f8,usr-0c644555,2022-03-03
1,usr-945db540,usr-9c6ed5ae,2022-12-22
1,usr-90c3f09e,usr-bbeaebb9,2022-05-05
1,usr-e2cd8c52,usr-fde8678d,2022-03-23
1,usr-40ec6fc3,usr-09114904,2022-09-21
1,usr-920f9794,usr-17d973ef,2022-04-04
1,usr-28fafd3f,usr-8af206a3,2023-08-31
